"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts"
"T7Hi","wt","wt","wt","PA148","5","T7Hi",17149,17359,"T7p33","5.7",53298
"T7Hi","wt","wt","wt","PA148","5","T7Hi",17358,17517,"T7p34","5.9",40836
"T7Hi","wt","wt","wt","PA148","5","T7Hi",17503,18406,"T7p35","6",210326
"T7Hi","wt","wt","wt","PA148","5","T7Hi",18393,18507,"T7p36","6.3",37417
"T7Hi","wt","wt","wt","PA148","5","T7Hi",18604,18859,"T7p37","6.5",299740
"T7Hi","wt","wt","wt","PA148","5","T7Hi",18863,19130,"T7p38","6.7",290142
"T7Hi","wt","wt","wt","PA148","5","T7Hi",19129,19531,"T7p39","7",583097
"T7Hi","wt","wt","wt","PA148","5","T7Hi",19534,19834,"T7p40","7.3",535597
"T7Hi","wt","wt","wt","PA148","5","T7Hi",19847,20240,"T7p41","7.7",398054
"T7Hi","wt","wt","wt","PA148","5","T7Hi",20239,21850,"T7p42","8",1526843
"T7Hi","wt","wt","wt","PA148","5","T7Hi",21949,22873,"T7p43","9",1689653
"T7Hi","wt","wt","wt","PA148","5","T7Hi",22966,24162,"T7p44","10B",4854486
"T7Hi","wt","wt","wt","PA148","5","T7Hi",22966,24004,"T7p45","10A",4567748
"T7Hi","wt","wt","wt","PA148","5","T7Hi",24227,24818,"T7p46","11",270007
"T7Hi","wt","wt","wt","PA148","5","T7Hi",24841,27226,"T7p47","12",592360
"T7Hi","wt","wt","wt","PA148","5","T7Hi",27306,27723,"T7p48","13",162896
"T7Hi","wt","wt","wt","PA148","5","T7Hi",27727,28318,"T7p49","14",364042
"T7Hi","wt","wt","wt","PA148","5","T7Hi",28324,30568,"T7p50","15",935366
"T7Hi","wt","wt","wt","PA148","5","T7Hi",30594,34551,"T7p51","16",1065878
"T7Hi","wt","wt","wt","PA148","5","T7Hi",34623,36285,"T7p52","17",1488019
"T7Hi","wt","wt","wt","PA148","5","T7Hi",36343,36547,"T7p53","17.5",197755
"T7Hi","wt","wt","wt","PA148","5","T7Hi",36552,36822,"T7p54","18",221271
"T7Hi","wt","wt","wt","PA148","5","T7Hi",36916,37348,"T7p55","18.5",217626
"T7Hi","wt","wt","wt","PA148","5","T7Hi",37031,37283,"T7p56","18.7",105255
